Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml,Gula (g) per 100 ml_scaled,Lemak Total (g) per 100 ml_scaled,Natrium (g) per 100 ml_scaled,Klaster,Klaster_HC,Klaster_DBSCAN
Mr Jussie Susu Cokelat,0.0,0.0,8,0.045,1.0,90.0,Minuman Rasa Susu,8.88888888888889,0.0,0.05,-0.7942407952494364,-0.6493583970051195,-0.35260012994205,0,1,0
Mr Jussie Fruity Jeruk,0.0,0.0,9,0.025,1.0,90.0,Minuman Rasa Susu,10.0,0.0,0.0277777777777777,-0.7595042661585719,-0.6493583970051195,-0.4740865326660636,0,1,0
Mr Jussie Milky Stroberi,0.0,0.0,10,0.02,1.0,90.0,Minuman Rasa Susu,11.11111111111111,0.0,0.0222222222222222,-0.7247677370677075,-0.6493583970051195,-0.504458133347067,0,1,0
Mr Jussie Milky Anggur,0.0,0.0,9,0.025,1.0,90.0,Minuman Rasa Susu,10.0,0.0,0.0277777777777777,-0.7595042661585719,-0.6493583970051195,-0.4740865326660636,0,1,0
Tropicana Slim Almond Drink Chocolicious,3.0,0.5,0,0.09,1.0,190.0,Minuman Almond,0.0,1.5789473684210529,0.0473684210526315,-1.072133027976352,-0.3203611922094449,-0.3669866776330516,0,1,0
Tropicana Slim Oat Drink Japanese Cantaloupe Melon,3.0,1.0,0,0.125,1.0,190.0,Minuman Oat,0.0,1.5789473684210529,0.0657894736842105,-1.072133027976352,-0.3203611922094449,-0.2662808437960404,0,1,0
Tropicana Slim Collagen Shot Peach Blossom,0.0,0.0,5,0.025,1.0,190.0,Minuman Rasa,2.631578947368421,0.0,0.0131578947368421,-0.9898623011821994,-0.6493583970051195,-0.5540117976160726,0,1,0
Tropicana Slim Oat Drink Vanillicious,2.5,1.5,0,0.07,1.0,190.0,Minuman Oat,0.0,1.3157894736842104,0.0368421052631579,-1.072133027976352,-0.3751940596753907,-0.424532868397058,0,1,0
Oatside Barista Blend,6.0,0.5,6,0.08,1.0,200.0,Minuman Oat,3.0,3.0,0.04,-0.978344399431018,-0.0242637078933378,-0.4072690111678562,0,1,0
Oatside Chocolate,6.0,1.0,10,0.09,1.0,200.0,Minuman Oat,5.0,3.0,0.045,-0.915818647067462,-0.0242637078933378,-0.3799345705549531,0,1,0
