Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml
Nescafe Cappuccino,4.0,3.5,14,0.13,1.0,220.0,Minuman Kopi Susu,6.363636363636363,1.8181818181818181,0.0590909090909091
Thai Milk Green Tea,5.0,5.0,14,0.14,1.0,250.0,Minuman Teh HIjau Susu,5.6000000000000005,2.0,0.05600000000000001
Tropicana Slim Sweetener Classic,0.0,0.0,0,0.0,25.0,2.5,Sediaan Pemanis,0.0,0.0,0.0
SariWangi SariMurni,0.0,0.0,0,0.0,1.8,20.0,Teh Celup,0.0,0.0,0.0
Nutrisari Lemon Tea,0.0,0.0,9,0.025,1.0,11.0,Minuman Serbuk Teh,81.81818181818183,0.0,0.2272727272727273
Nutrisari Lychee Tea,0.0,0.0,9,0.03,1.0,11.0,Minuman Serbuk Teh,81.81818181818183,0.0,0.2727272727272727
Max Tea Lemon Tea,0.0,0.0,24,0.0,1.0,25.0,Minuman Serbuk Teh,96.0,0.0,0.0
Max Tea Tarik Jahe,3.0,3.0,15,0.015,1.0,25.0,Minuman Serbuk Teh,60.0,12.0,0.06
Max Tea Tarik,3.0,3.0,13,0.01,5.0,25.0,Minuman Serbuk Teh,52.0,12.0,0.04
Hilo Calcium Teh Tarik,1.5,1.5,9,0.06,1.0,15.0,Minuman Serbuk Rasa,60.0,10.0,0.4
Teh Poci Teh Tarik Gula Aren,3.0,3.0,17,0.16,1.0,25.0,Minuman Serbuk Rasa,68.0,12.0,0.64
Teh Poci Pandan Vanilla,0.0,0.0,19,0.0,1.0,24.0,Minuman Serbuk Rasa,79.16666666666666,0.0,0.0
Nutrisari Cocopandan,0.0,0.0,9,0.06,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.5454545454545454
Nutrisari Jeruk Maroko,0.0,0.0,10,0.015,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.13636363636363635
Nutrisari Anggur Hijau,0.0,0.0,10,0.035,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.3181818181818182
Nutrisari Es Cincau,0.0,0.0,10,0.015,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.13636363636363635
