Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml,Gula (g) per 100 ml_scaled,Lemak Total (g) per 100 ml_scaled,Natrium (g) per 100 ml_scaled
Tora Cafe Iced Milky Latte,3.5,3.5,9,0.29,1.0,180.0,Minuman Kopi,5.0,1.9444444444444444,0.1611111111111111,-0.915818647067462,-0.24420443184007581,0.2548318836780178
Golda Coffee Dolce Latte,2.5,2.0,15,0.105,1.0,200.0,Minuman Kopi,7.5,1.25,0.0525,-0.8376614566130169,-0.38890227654187715,-0.3389329096355985
ABC Kopi Susu,2.5,2.5,17,0.105,1.0,200.0,Minuman Kopi,8.5,1.25,0.0525,-0.8063985804312389,-0.38890227654187715,-0.3389329096355985
Kopiko Coffee Latte,2.5,2.0,20,0.11,1.0,240.0,Minuman Kopi,8.333333333333332,1.0416666666666665,0.04583333333333333,-0.8116090597948686,-0.43231162995241756,-0.3753788304528026
Good Day Tiramisu Bliss,3.0,3.0,22,0.08,1.0,250.0,Minuman Kopi,8.799999999999999,1.2,0.032,-0.7970197175767056,-0.39932052136040685,-0.45100411614850106
Delizio Caffino Oat Cappuccino,2.5,2.5,15,0.12,1.0,200.0,Minuman Kopi,7.5,1.25,0.06,-0.8376614566130169,-0.38890227654187715,-0.29793124871624393
Chocolatos,2.0,2.0,13,0.085,1.0,180.0,Minuman Rasa Cokelat,7.222222222222221,1.1111111111111112,0.04722222222222222,-0.8463455888857331,-0.4178418454822374,-0.36778593028255174
Kapal Api Original Black Coffee,0.0,0.0,18,0.03,1.0,200.0,Minuman Kopi,9.0,0.0,0.015,-0.79076714234035,-0.6493583970051195,-0.5439412142323714
Chocolatos Rasa Cokelat,1.5,1.5,16,0.6,1.0,150.0,Minuman Rasa Cokelat,10.666666666666668,1.0,0.4,-0.7386623487040532,-0.4409935006345256,1.5608107129611641
Milo,4.0,2.5,13,0.075,1.0,220.0,Minuman Cokelat,5.909090909090909,1.8181818181818181,0.03409090909090909,-0.8873978505385729,-0.270513130876767,-0.4395733500740143
Nescafe Coconut Latte,4.5,4.0,14,0.15,1.0,220.0,Minuman Kopi Susu,6.363636363636363,2.0454545454545454,0.06818181818181818,-0.8731874522741283,-0.2231574726107229,-0.25320216407694807
Tebs Sparkling Tea,0.0,0.0,31,0.075,1.0,330.0,Minuman Teh,9.393939393939393,0.0,0.022727272727272728,-0.778451463844498,-0.6493583970051195,-0.5016970787397032
