Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml,Gula (g) per 100 ml_scaled,Lemak Total (g) per 100 ml_scaled,Natrium (g) per 100 ml_scaled
Sunquick Orange,0.0,0.0,12,0.02,1.0,100.0,Sirup Rasa,12.0,0.0,0.02,-0.6969785137950159,-0.6493583970051195,-0.5166067736194684
ABC Qahwa Kopi Susu Kurma,4.0,4.0,16,0.02,1.0,27.0,Minuman Serbuk Kopi,59.25925925925925,14.814814814814813,0.07407407407407407,0.7804818568697524,2.4375289566333085,-0.22098986032436868
Delizio Caffino Brown Sugar,2.5,2.5,13,0.06,1.0,25.0,Minuman Serbuk Kopi,52.0,10.0,0.24,0.5535365334761048,1.4342905667008194,0.6861086133482661
Luwak White Koffie Premium,2.5,2.5,5,0.015,1.0,20.0,Minuman Serbuk Kopi,25.0,12.5,0.075,-0.29056112343190166,1.9552028076273043,-0.21592792687753476
ABC Kopi Klepon,3.5,3.5,15,0.015,1.0,25.0,Minuman Serbuk Kopi,60.0,14.000000000000002,0.06,0.8036395429303289,2.2677501521831953,-0.29793124871624393
Good Day Coffee Freeze Mocafrio,3.5,3.5,21,0.005,1.0,30.0,Minuman Serbuk Kopi,70.0,11.666666666666666,0.016666666666666666,1.116268304748109,1.7815653939851426,-0.5348297340280704
Good Day Coffee Freeze Cookies N Cream,3.5,3.5,17,0.015,1.0,30.0,Minuman Serbuk Kopi,56.666666666666664,11.666666666666666,0.05,0.6994299556577355,1.7815653939851426,-0.35260012994205003
Good Day Coffee Freeze Hazelnut Macchiato,3.5,3.5,19,0.015,1.0,30.0,Minuman Serbuk Kopi,63.33333333333333,11.666666666666666,0.05,0.9078491302029221,1.7815653939851426,-0.35260012994205003
Good Day Choco Nut,2.5,2.5,13,0.035,1.0,22.0,Minuman Serbuk Kopi,59.09090909090909,11.363636363636363,0.1590909090909091,0.7752187464014398,1.718424516297084,0.2437876652485621
Good Day Moca Caramel,2.5,2.5,14,0.04,1.0,22.0,Minuman Serbuk Kopi,63.63636363636363,11.363636363636363,0.18181818181818182,0.9173227290458852,1.718424516297084,0.36803512257993964
Chocolatos Creamy,1.5,1.5,9,0.04,1.5,15.0,Minuman Serbuk Rasa,60.0,10.0,0.26666666666666666,0.8036395429303289,1.4342905667008194,0.8318922966170824
Chocolatos Smooth Matcha,3.0,2.5,10,0.09,1.0,20.0,Minuman Serbuk Rasa,50.0,15.0,0.44999999999999996,0.49101078111254876,2.476115048553789,1.8341551190901944
Hilo Calcium Chocolate Hazelnut,1.5,1.0,8,0.035,1.0,14.0,Minuman Serbuk Rasa,57.14285714285714,10.714285714285714,0.25,0.7143170395538202,1.5831226355369579,0.7407774945740723
Hilo Calcium Choco Malt,1.0,1.0,8,0.085,1.0,14.0,Minuman Serbuk Rasa,57.14285714285714,7.142857142857142,0.6071428571428572,0.7143170395538202,0.8389622913562654,2.6932375383528626
Diamond Juice Guava,0.0,0.0,20,0.015,1.0,200.0,Minuman Sari Buah,10.0,0.0,0.0075,-0.7595042661585719,-0.6493583970051195,-0.584942875151726
Diamond Juice Blueberry,0.0,0.0,17,0.01,1.0,200.0,Minuman Sari Buah,8.5,0.0,0.005,-0.8063985804312389,-0.6493583970051195,-0.5986100954581776
Nutrisari Jeruk Madu Less Sugar,0.0,0.0,14,0.04,1.0,200.0,Minuman Buah,7.000000000000001,0.0,0.02,-0.853292894703906,-0.6493583970051195,-0.5166067736194684
Country Choice Optimist Orange,0.0,0.0,20,0.06,1.0,250.0,Minuman Sari Buah,8.0,0.0,0.023999999999999997,-0.822030018522128,-0.6493583970051195,-0.494739221129146
Country Choice Guardian Red,0.0,0.0,21,0.06,1.0,250.0,Minuman Sari Buah,8.4,0.0,0.023999999999999997,-0.8095248680494168,-0.6493583970051195,-0.494739221129146
Country Choice Purify Green,0.0,0.0,20,0.06,1.0,250.0,Minuman Sari Buah,8.0,0.0,0.023999999999999997,-0.822030018522128,-0.6493583970051195,-0.494739221129146
Buavita Korean White Peach,0.0,0.0,20,0.07,1.0,245.0,Minuman Sari Buah,8.16326530612245,0.0,0.028571428571428574,-0.8169258754720418,-0.6493583970051195,-0.46974773256877744
Benecol Smoothie Orange,2.0,0.0,3,0.055,1.0,100.0,Minuman Rasa,3.0,2.0,0.055,-0.978344399431018,-0.2326286042639317,-0.32526568932914696
Benecol Smoothie Strawberry,2.0,0.0,4,0.055,1.0,100.0,Minuman Rasa,4.0,2.0,0.055,-0.94708152324924,-0.2326286042639317,-0.32526568932914696
Benecol Smoothie Blackcurrant,2.0,1.0,6,0.055,1.0,100.0,Minuman Rasa,6.0,2.0,0.055,-0.8845557708856839,-0.2326286042639317,-0.32526568932914696
Ichitan Thai Milk Coffee,5.0,1.5,17,0.14,1.0,250.0,Minuman Kopi Susu,6.800000000000001,2.0,0.05600000000000001,-0.8595454699402616,-0.2326286042639317,-0.31979880120656634
Ichitan Thai Milk Green Tea,5.0,5.0,14,0.14,1.0,300.0,Minuman Teh Hijau Susu,4.666666666666667,1.6666666666666667,0.04666666666666667,-0.9262396057947213,-0.3020835697207963,-0.37082309035065203
Ichitan Korean Banana Milk,4.5,2.5,21,0.15,1.0,250.0,Minuman Rasa Susu,8.4,1.7999999999999998,0.06,-0.8095248680494168,-0.2743015835380505,-0.29793124871624393
Ichitan Korean Strawberry Milk,3.5,3.5,17,0.21,1.0,250.0,Minuman Rasa Susu,6.800000000000001,1.4000000000000001,0.08399999999999999,-0.8595454699402616,-0.357647542086288,-0.1667259337743093
Coca Cola Original,0.0,0.0,27,0.015,1.0,250.0,Minuman Berkarbonasi,10.8,0.0,0.005999999999999999,-0.7344939652131495,-0.6493583970051195,-0.5931432073355969
Kopi Kenangan Black Aren,3.5,2.5,14,0.2,1.0,220.0,Minuman Kopi,6.363636363636363,1.5909090909090908,0.09090909090909091,-0.8731874522741283,-0.317868789142811,-0.12895470674557047
Sidomuncul Cokelat Este Emje dengan Ginseng,3.5,1.5,16,0.045,1.0,30.0,Minuman Serbuk,53.333333333333336,11.666666666666666,0.15,0.5952203683851421,1.7815653939851426,0.19408868231601106
Sidomuncul Original Este Emje dengan Ginseng,3.5,1.5,18,0.055,1.0,30.0,Minuman Serbuk,60.0,11.666666666666666,0.18333333333333332,0.8036395429303289,1.7815653939851426,0.3763182864020314
Sidomuncul Coffee Este Emje dengan Ginseng,3.0,1.5,18,0.045,1.0,30.0,Minuman Serbuk,60.0,10.0,0.15,0.8036395429303289,1.4342905667008194,0.19408868231601106
Nutrisari Milky Peach,0.0,0.0,9,0.055,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.5,1.4857386596236677,-0.6493583970051195,2.1074995252192252
Nutrisari Jeruk Nipis,0.0,0.0,9,0.025,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.2272727272727273,1.4857386596236677,-0.6493583970051195,0.6165300372426948
Nutrisari Dondong,0.0,0.0,7,0.12,1.0,14.0,Minuman Serbuk Rasa,50.0,0.0,0.8571428571428572,0.49101078111254876,-0.6493583970051195,4.059959568998015
Nutrisari Es Kuwut Nipis,0.0,0.0,9,0.085,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.7727272727272727,1.4857386596236677,-0.6493583970051195,3.5984690131957553
Nutrisari Florida Orange,0.0,0.0,9,0.02,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.18181818181818182,1.4857386596236677,-0.6493583970051195,0.36803512257993964
Pop Ice Chocolate,1.0,1.0,17,0.04,1.0,24.0,Minuman Serbuk Rasa,70.83333333333334,4.166666666666666,0.16666666666666669,1.1423207015662578,0.21882867120568827,0.2852034843590214
Pop Ice Strawberry,1.0,1.0,16,0.02,1.0,23.0,Minuman Serbuk Rasa,69.56521739130434,4.3478260869565215,0.08695652173913043,1.1026757498864663,0.2565759350409409,-0.1505629601945057
Pop Ice Vanilla Blue,1.5,1.5,16,0.05,1.0,25.0,Minuman Serbuk Mengandung Susu,64.0,6.0,0.2,0.9286910476574409,0.6008309812184439,0.4674330884450417
Pop Ice Vanilla Latte,1.5,1.5,16,0.015,1.0,25.0,Minuman Serbuk Rasa,64.0,6.0,0.06,0.9286910476574409,0.6008309812184439,-0.29793124871624393
ABC Squash Delight Jeruk Florida,0.0,0.0,6,0.05,15.5,29.0,Squash Berperisa,20.689655172413794,0.0,0.1724137931034483,-0.42531490007749656,-0.6493583970051195,0.31662238161523176
Marjan Squash Cocopandan,0.0,0.0,13,0.025,15.0,30.0,Squash Berperisa,43.333333333333336,0.0,0.08333333333333334,0.28259160656736204,-0.6493583970051195,-0.1703705258560296
Marjan Squash Strawberry,0.0,0.0,12,0.025,15.0,30.0,Squash Berperisa,40.0,0.0,0.08333333333333334,0.17838201929476857,-0.6493583970051195,-0.1703705258560296
Marjan Squash Mango,0.0,0.0,13,0.03,15.0,30.0,Squash Berperisa,43.333333333333336,0.0,0.1,0.28259160656736204,-0.6493583970051195,-0.07925572381301944
Marjan Boudoin Melon,0.0,0.0,21,0.01,15.0,30.0,Sirup Rasa,70.0,0.0,0.03333333333333333,1.116268304748109,-0.6493583970051195,-0.4437149319850602
Marjan Boudoin Cocopandan,0.0,0.0,21,0.005,15.0,30.0,Sirup Rasa,70.0,0.0,0.016666666666666666,1.116268304748109,-0.6493583970051195,-0.5348297340280704
Marjan Boudoin Stroberi,0.0,0.0,21,0.01,15.0,30.0,Sirup Rasa,70.0,0.0,0.03333333333333333,1.116268304748109,-0.6493583970051195,-0.4437149319850602
Tropicana Slim Sirup Rasa Lychee,0.0,0.0,0,0.01,30.0,25.0,Sirup Rasa,0.0,0.0,0.04,-1.0721330279763521,-0.6493583970051195,-0.4072690111678562
Tropicana Slim Sirup Rasa Orange,0.0,0.0,0,0.015,30.0,25.0,Sirup Rasa,0.0,0.0,0.06,-1.0721330279763521,-0.6493583970051195,-0.29793124871624393
Tropicana Slim Sirup Rasa Cocopandan,0.0,0.0,0,0.005,30.0,25.0,Sirup Rasa,0.0,0.0,0.02,-1.0721330279763521,-0.6493583970051195,-0.5166067736194684
Excelso Robusta Gold,1.0,0.0,0,0.0,20.0,10.0,Minuman Serbuk Kopi,0.0,10.0,0.0,-1.0721330279763521,1.4342905667008194,-0.6259445360710806
Excelso Arabica Gold,1.5,0.5,0,0.0,20.0,10.0,Minuman Serbuk Kopi,0.0,15.0,0.0,-1.0721330279763521,2.476115048553789,-0.6259445360710806
Indocafe Original Bland,0.0,0.0,0,0.0,1.0,2.0,Minuman Serbuk Kopi,0.0,0.0,0.0,-1.0721330279763521,-0.6493583970051195,-0.6259445360710806
Kapal Api Special,0.5,0.0,0,0.0,10.0,6.5,Minuman Serbuk Kopi,0.0,7.6923076923076925,0.0,-1.0721330279763521,0.953448498153295,-0.6259445360710806
Kapal Api Lampung,1.0,0.0,0,0.0,21.5,7.0,Minuman Serbuk Kopi,0.0,14.285714285714285,0.0,-1.0721330279763521,2.3272829797176504,-0.6259445360710806
Kapal Api One Kopi + Gula,0.5,0.0,17,0.0,1.0,23.0,Minuman Serbuk Kopi,73.91304347826086,2.1739130434782608,0.0,1.2386012985028922,-0.19639123098208933,-0.6259445360710806
